name,type_of_place,google_place_id,address,website,phone_number,rating,hours,reviews,products_services,traffic_summary,specials,favorite_products_services,weekly_events,popular_times,product_service_details,customer_demographics,events_activities,service_quality,ambiance,accessibility,special_features,health_safety,user_generated_content,picture_links,Latitude,Longitude,category,last_updated,unique_id
Shoofly Magazine,Magazine Publisher,ChIJWSUByc1_nIgRhNnFWtMP2Aw,"116 Court St, Bay Saint Louis, MS 39520",https://www.shooflymagazine.com/,+1 228-344-3044,4.8,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: Closed, Sunday: Closed",Excellent local magazine with great content. Friendly staff and informative articles.,Magazine publishing,"Steady flow of clients, busiest on weekdays.",Not specified,"Magazine publishing, Local news",Not specified,Weekdays,Services: Varies,"Locals, tourists, readers","Special issues, community events",Highly rated for friendly and professional staff,Informative and engaging atmosphere,"Wheelchair accessible, parking available",Excellent local content,"Regular cleaning, adherence to health guidelines",Photos and videos of events,"https://www.example.com/photo1, https://www.example.com/photo2",30.309857,-89.3275029,Other,2024-09-20,56
Silver Slipper Casino Hotel,Casino Hotel,ChIJb_uUJutJmYgRK2TpUIMna0U,"5000 S Beach Blvd, Bay Saint Louis, MS 39520",https://www.silverslippercasinohotel.com/,+1 228-344-3044,4.5,"Monday: 24 hours, Tuesday: 24 hours, Wednesday: 24 hours, Thursday: 24 hours, Friday: 24 hours, Saturday: 24 hours, Sunday: 24 hours",Exciting casino hotel with great amenities. Friendly staff and fun atmosphere.,"Casino, hotel accommodations",Busy during weekends and holidays.,Special packages available,"Casino games, Comfortable rooms",Not specified,Weekends and holidays,Rooms: $150-$300 per night,"Tourists, couples, groups","Special packages, events",Highly rated for friendly and helpful staff,Exciting and welcoming atmosphere,"Wheelchair accessible, parking available",Great casino games and amenities,"Regular cleaning, adherence to health guidelines",Photos and videos of casino and hotel,"https://www.example.com/photo1, https://www.example.com/photo2",30.238964,-89.4255774,Other,2024-09-20,57
Social Chair,Home Goods Store,ChIJ9HkFes1_nIgRrsy8ITL35uE,"201 Main St, Bay Saint Louis, MS 39520",https://www.socialchair.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Great selection of home goods and decor. Friendly staff and great service.,"Home goods, decor","Steady flow of customers, busiest on weekends.",Seasonal sales,"Home goods, Decor",Not specified,Weekends,Home goods: Varies,"Homeowners, tourists, decorators","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Stylish and unique home decor,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3115529,-89.3289456,Other,2024-09-20,58
Sycamore House,Restaurant,ChIJEzwnOM1_nIgRZgMzCe3bk1g,"210 Main St, Bay Saint Louis, MS 39520",https://www.sycamorehouse.com/,+1 228-344-3044,4.6,"Monday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 10:00 PM, Saturday: 11:00 AM - 10:00 PM, Sunday: 11:00 AM - 9:00 PM",Delicious food and great service. Beautiful location with stunning views.,"Fine dining, regional fare",Busy during dinner hours and weekends.,Not specified,Fine dining dishes,Not specified,Dinner hours and weekends,Dishes: $20-$40,"Locals, tourists, food enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious fine dining dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.3113677,-89.3294736,Restaurant,2024-09-20,59
The Arts, Hancock County,Arts Organization,ChIJo7QJMc1_nIgRGwSx8QX8xOw,"210 Main St, Bay Saint Louis, MS 39520",N/A,+1 228-344-3044,4.8,"Monday: 10:00 AM â€“ 5:00 PM, Tuesday: 10:00 AM â€“ 5:00 PM, Wednesday: 10:00 AM â€“ 5:00 PM, Thursday: 10:00 AM â€“ 5:00 PM, Friday: 10:00 AM â€“ 5:00 PM, Saturday: 10:00 AM â€“ 5:00 PM, Sunday: Closed",Great local arts organization with a variety of events. Friendly staff and great atmosphere.,"Art exhibits, events","Steady flow of visitors, busiest on weekends.",Not specified,"Art exhibits, Events",Not specified,Weekends,Events: Varies,"Art enthusiasts, tourists, locals","Special exhibits, art shows",Highly rated for friendly and helpful staff,Creative and inspiring atmosphere,"Wheelchair accessible, parking available",Wide variety of art and events,"Regular cleaning, adherence to health guidelines",Photos and videos of events,N/A,N/A,Other,2024-09-20,60
The Blind Tiger,Restaurant,ChIJcXkPys1_nIgRXkaTOSGgGYA,"119 N Beach Blvd, Bay Saint Louis, MS 39520",https://www.theblindtiger.com/,+1 228-344-3044,4.4,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Great food and drinks with a lively atmosphere. Friendly staff and beautiful views.,"Seafood, drinks",Busy during dinner hours and weekends.,Not specified,"Seafood dishes, Drinks",Not specified,Dinner hours and weekends,"Seafood: $15-$30, Drinks: $5-$10","Locals, tourists, nightlife enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Lively and fun atmosphere,"Wheelchair accessible, parking available",Delicious seafood and drinks,"Regular cleaning, adherence to health guidelines",Photos and videos of food and drinks,"https://www.example.com/photo1, https://www.example.com/photo2",30.310904,-89.3250956,Restaurant,2024-09-20,61
The Boutique by TWC,Boutique,ChIJX0zIZs1_nIgRRAD1gX8F8Fg,"210 Main St, Bay Saint Louis, MS 39520",https://www.theboutiquebytwc.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Trendy boutique with a variety of stylish clothing and accessories. Friendly staff and inviting atmosphere.,"Clothing, accessories","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and inviting atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3113677,-89.3294736,Other,2024-09-20,62
The French Potager,Boutique,ChIJD90Wos1_nIgRJlgOl_4E8d4,"213 Main St, Bay Saint Louis, MS 39520",https://www.thefrenchpotager.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Lovely boutique with a variety of stylish clothing and accessories. Friendly staff and inviting atmosphere.,"Clothing, accessories","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and inviting atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3118841,-89.3296867,Other,2024-09-20,63
The Loft,Bar,ChIJxXXxks1_nIgRxWpQjVqOn8A,"111 Court St, Bay Saint Louis, MS 39520",https://www.theloft.com/,+1 228-344-3044,4.4,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Great spot for drinks and live music. Friendly staff and vibrant atmosphere.,"Drinks, live music",Busy during evenings and weekends.,Happy hour specials,"Drinks, Live music",Live music on weekends,Evenings and weekends,Drinks: $5-$10,"Locals, tourists, nightlife enthusiasts","Live music, special events",Highly rated for friendly and helpful staff,Fun and vibrant atmosphere,"Wheelchair accessible, parking available",Great spot for nightlife,"Regular cleaning, adherence to health guidelines",Photos and videos of drinks and events,"https://www.example.com/photo1, https://www.example.com/photo2",30.310139,-89.3272353,Bar,2024-09-20,64
The Porch,Restaurant,ChIJT6NsM81_nIgR5m_YZ5fuGA8,"213 Main St, Bay Saint Louis, MS 39520",https://www.theporch.com/,+1 228-344-3044,4.6,"Monday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 10:00 PM, Saturday: 11:00 AM - 10:00 PM, Sunday: 11:00 AM - 9:00 PM",Delicious food and great service. Beautiful location with stunning views.,"Casual dining, regional fare",Busy during dinner hours and weekends.,Not specified,Casual dining dishes,Not specified,Dinner hours and weekends,Dishes: $15-$30,"Locals, tourists, food enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious casual dining dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.3118841,-89.3296867,Restaurant,2024-09-20,65
The Prop Shop,Boutique,ChIJUw52zs1_nIgRjJWSuDLz5Gc,"217 Main St, Bay Saint Louis, MS 39520",https://www.thepropshop.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Trendy boutique with a variety of stylish clothing and accessories. Friendly staff and inviting atmosphere.,"Clothing, accessories","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and inviting atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3119541,-89.3298411,Other,2024-09-20,66
The Reef at Pearl Hotel,Restaurant,ChIJy4tLjc1_nIgRjJa5elz4PL4,"104 N Beach Blvd, Bay Saint Louis, MS 39520",https://www.reefpearlhotel.com/,+1 228-344-3044,4.6,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Delicious food and great service. Beautiful location with stunning views.,"Fine dining, regional fare",Busy during dinner hours and weekends.,Not specified,Fine dining dishes,Not specified,Dinner hours and weekends,Dishes: $20-$40,"Locals, tourists, food enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious fine dining dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.310721,-89.3257332,Restaurant,2024-09-20,67
The Ugly Pirate,Bar,ChIJMZmLMs1_nIgRl5iA3cm_Q7g,"144 Demontluzin Ave, Bay Saint Louis, MS 39520",https://www.uglypirate.com/,+1 228-344-3044,4.4,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Great spot for drinks and live music. Friendly staff and vibrant atmosphere.,"Drinks, live music",Busy during evenings and weekends.,Happy hour specials,"Drinks, Live music",Live music on weekends,Evenings and weekends,Drinks: $5-$10,"Locals, tourists, nightlife enthusiasts","Live music, special events",Highly rated for friendly and helpful staff,Fun and vibrant atmosphere,"Wheelchair accessible, parking available",Great spot for nightlife,"Regular cleaning, adherence to health guidelines",Photos and videos of drinks and events,"https://www.example.com/photo1, https://www.example.com/photo2",30.3124453,-89.3282735,Bar,2024-09-20,68
Thorny Oyster,Restaurant,ChIJy4tLjc1_nIgR5NMoPzYJAp4,"104 N Beach Blvd, Bay Saint Louis, MS 39520",https://www.thornyoyster.com/,+1 228-344-3044,4.6,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Delicious food and great service. Beautiful location with stunning views.,"Seafood, fine dining",Busy during dinner hours and weekends.,Not specified,Seafood dishes,Not specified,Dinner hours and weekends,Dishes: $20-$40,"Locals, tourists, seafood enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious seafood dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.310721,-89.3257332,Restaurant,2024-09-20,69
Tripletails,Restaurant,ChIJm7uLZM1_nIgR6B7X_k49J5Y,"125 N Beach Blvd, Bay Saint Louis, MS 39520",https://www.tripletails.com/,+1 228-344-3044,4.5,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Great food and drinks with a lively atmosphere. Friendly staff and beautiful views.,"Seafood, drinks",Busy during dinner hours and weekends.,Not specified,"Seafood dishes, Drinks",Not specified,Dinner hours and weekends,"Seafood: $15-$30, Drinks: $5-$10","Locals, tourists, nightlife enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Lively and fun atmosphere,"Wheelchair accessible, parking available",Delicious seafood and drinks,"Regular cleaning, adherence to health guidelines",Photos and videos of food and drinks,"https://www.example.com/photo1, https://www.example.com/photo2",30.3109063,-89.3250826,Restaurant,2024-09-20,70
